ID;loja;date;GMV;TR;Bonus;Comissao;Último;Abertura;Máxima;Mínima;Var%
3156;Loja 8;19/01/2020;16185;78;49265;1224;4,162;4,1851;4,1851;4,1935;4,1584
3157;Loja 8;20/01/2020;25544;148;146890;2969;4,1902;4,1654;4,1654;4,1917;4,1624
3158;Loja 8;21/01/2020;25777;145;143668;2928;4,2126;4,1885;4,1885;4,2174;4,1826
3159;Loja 8;22/01/2020;27950;159;155216;3166;4,1829;4,2011;4,2011;4,2055;4,1716
3160;Loja 8;23/01/2020;22870;136;128097;2607;4,1707;4,1829;4,1829;4,1903;4,1551
3161;Loja 8;24/01/2020;18514;98;104168;2118;4,1817;4,1706;4,1706;4,1917;4,1646
3162;Loja 8;25/01/2020;13395;73;75788;1538;4,1817;4,1706;4,1706;4,1917;4,1646
3163;Loja 8;26/01/2020;21044;107;131299;2675;4,1817;4,1706;4,1706;4,1917;4,1646
3164;Loja 8;27/01/2020;17353;105;52062;1301;4,2077;4,1834;4,1834;4,2317;4,1799
3165;Loja 8;28/01/2020;18368;122;63938;1598;4,1945;4,2111;4,2111;4,2164;4,1864
3166;Loja 8;29/01/2020;20174;118;71731;1792;4,2306;4,195;4,195;4,2325;4,1806
3167;Loja 8;30/01/2020;22586;136;67773;1694;4,2432;4,2306;4,2306;4,2722;4,2305
3168;Loja 8;31/01/2020;17764;107;53305;1332;4,2824;4,244;4,244;4,2904;4,244
